"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d alışveriş kuralları, ""%s"" özelliği için kapatıldı."
"%s Coupon(s) have been generated","%s adet kupon üretildi"
"Actions","İşlemler"
"Free Shipping","Ücretsiz Kargo"
"From Date","Başlama Tarihi"
"General Information","Genel Bilgi"
"Generate","Üret"
"ID","No"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Eğer %s %s %s sepetteki ürünlerin alt seçimi için %s şu koşullarla eşleşirse:"
"If an item is %s in the cart with %s of these conditions true:","Eğer sepetteki %s ürün %s koşullarına sahipse:"
"If empty no separation.","Boş bırakırsanız ayraç kullanılmaz."
"If you select and save the rule you will be able to generate multiple coupon codes.","Kuralı kaydettikten sonra çoklu kupon üretimi yapabilirsiniz."
"Inactive","Pasif"
"Item totals are not set for rule.","Ürün toplamları kural için kullanılmadı."
"Labels","Etiketler"
"Manage Coupon Codes","Kupon Kodlarını Yönet"
"Maximum Qty Discount is Applied To","En fazla adet indirimi uygulandı "
"NOT FOUND","BULUNAMADI"
"NOT LOGGED IN","GİRİŞ YAPMAMIŞ"
"New Rule","Yeni Kural"
"No","Hayır"
"No Coupon","Kupon Yok"
"Not valid data provided","Geçerli bir veri sağlanmadı"
"Number of Uses","Kullanım Sayısı"
"Numeric","Sayısal"
"Payment Method","Tahsilat Yöntemi"
"Percent of product price discount","Ürün fiyat indirim yüzdesi"
"Period","Periyod"
"Price in cart","Sepetteki Ücret"
"Priority","Öncelik"
"Product attribute combination","Ürün özellik kombinasyonu"
"Products subselection","Ürün altseçimi"
"Promotions","Promosyonlar"
"Public In RSS Feed","RSS Akışı Genele Açık"
"Quantity in cart","Sepetteki adet"
"Row total in cart","Sepetteki satır toplamı"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Rule is not defined","Kural ayarlanmadı"
"Sales Discount Amount","Satış İndirim Tutarı"
"Sales Subtotal Amount","Ara Toplam"
"Sales Total Amount","Satış Toplam Tutarı"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Shipping Country","Kargo Ülkesi"
"Shipping Method","Teslimat Yöntemi"
"Shipping Postcode","Kargo Posta Kodu"
"Shipping Region","Kargo Bölgesi"
"Shipping State/Province","Kargo Eyalet/Şehir"
"Shopping Cart Price Rule","Alışveriş Sepeti Fiyat Kuralı"
"Shopping Cart Price Rules","Alışveriş Sepeti Fiyat Kuralları"
"Special Price","Özel Fiyat"
"Specific Coupon","Özel Kupon"
"Status","Durum"
"Stop Further Rules Processing","Önceki Kuralların Çalışmasını Durdur"
"Store View Specific Labels","Mağaza Görünümüne Özel Etiketler"
"Subtotal","Ara Toplam"
"Subtotal Amount","Ara Toplam"
"The rule has been deleted.","Kural Silindi"
"The rule has been saved.","Kural kaydedildi."
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"Times Used","Kullanım Sayısı"
"To Date","Son Tarih"
"To Fixed Value","Sabit Değere"
"To Percentage","Yüzde için"
"Total","Toplam"
"Total Amount","Toplam Tutar"
"Total Items Quantity","Toplam Ürün Miktarı"
"Total Weight","Toplam Ağırlık"
"Unable to create requested Coupon Qty. Please check settings and try again.","İstenen adette kupon üretilemedi. Lütfen ayarları kontrol ederek tekrar deneyiniz."
"Unable to find a rule to delete.","Silmek istediğiniz kural bulunamadı."
"Update prices using the following information","Aşağıdaki bilgiyi kullanarak fiyatları güncelle"
"Update product's %s %s: %s","Ürünü güncelle  %s %s: %s"
"Update the Product","Ürünü Güncelle"
"Use Auto Generation","Otomatik Üretmeyi Kullan"
"Used","Kullanıldı"
"Uses per Coupon","Kupon başı Kullanım Sayısı"
"Uses per Customer","Müşteri başına Kullanım"
"Website","Websitesi"
"Websites","Websiteleri"
"Wrong rule specified.","Hatalı kural seçimi."
"Yes","Evet"
"total amount","Toplam Tutar"
"total quantity","toplam adet"
